timestamp_procesado,timestamp_lectura_csv,ruta_pasajero,tiempo_total_estimado_desde_entrada_min
2026-05-16 11:22:51,2026-05-16 11:33:18,directo_seguridad_embarque,5.5
2026-05-16 11:22:54,2026-05-16 11:34:18,checkin_seguridad_pasaportes_embarque,11.2
2026-05-16 11:22:54,2026-05-16 11:34:18,checkin_seguridad_embarque,9.2
2026-05-16 11:22:54,2026-05-16 11:34:18,bagdrop_seguridad_pasaportes_embarque,9.7
2026-05-16 11:22:54,2026-05-16 11:34:18,bagdrop_seguridad_embarque,7.7
2026-05-16 11:22:54,2026-05-16 11:34:18,directo_seguridad_pasaportes_embarque,7.7
2026-05-16 11:22:54,2026-05-16 11:34:18,directo_seguridad_embarque,5.7
2026-05-16 11:22:57,2026-05-16 11:35:18,checkin_seguridad_pasaportes_embarque,11.8
2026-05-16 11:22:57,2026-05-16 11:35:18,checkin_seguridad_embarque,9.8
2026-05-16 11:22:57,2026-05-16 11:35:18,bagdrop_seguridad_pasaportes_embarque,10.3
2026-05-16 11:22:57,2026-05-16 11:35:18,bagdrop_seguridad_embarque,8.3
2026-05-16 11:22:57,2026-05-16 11:35:18,directo_seguridad_pasaportes_embarque,8.3
2026-05-16 11:22:57,2026-05-16 11:35:18,directo_seguridad_embarque,6.3
2026-05-16 11:23:00,2026-05-16 11:36:18,checkin_seguridad_pasaportes_embarque,12.8
2026-05-16 11:23:00,2026-05-16 11:36:18,checkin_seguridad_embarque,10.8
2026-05-16 11:23:00,2026-05-16 11:36:18,bagdrop_seguridad_pasaportes_embarque,11.3
2026-05-16 11:23:00,2026-05-16 11:36:18,bagdrop_seguridad_embarque,9.3
2026-05-16 11:23:00,2026-05-16 11:36:18,directo_seguridad_pasaportes_embarque,9.3
2026-05-16 11:23:00,2026-05-16 11:36:18,directo_seguridad_embarque,7.3
2026-05-16 11:23:03,2026-05-16 11:37:18,checkin_seguridad_pasaportes_embarque,13.4
2026-05-16 11:23:03,2026-05-16 11:37:18,checkin_seguridad_embarque,11.4
2026-05-16 11:23:03,2026-05-16 11:37:18,bagdrop_seguridad_pasaportes_embarque,11.9
2026-05-16 11:23:03,2026-05-16 11:37:18,bagdrop_seguridad_embarque,9.9
2026-05-16 11:23:03,2026-05-16 11:37:18,directo_seguridad_pasaportes_embarque,9.9
2026-05-16 11:23:03,2026-05-16 11:37:18,directo_seguridad_embarque,7.9
2026-05-16 11:23:06,2026-05-16 11:38:18,checkin_seguridad_pasaportes_embarque,14.2
2026-05-16 11:23:06,2026-05-16 11:38:18,checkin_seguridad_embarque,12.2
2026-05-16 11:23:06,2026-05-16 11:38:18,bagdrop_seguridad_pasaportes_embarque,12.7
